dataset,file,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,Rho_rel,L_star_mm,bbox_over_Lstar,SAV_x_cell_star,rel_surface_star,curv_mean_mean_xL_star,curv_mean_iqr_xL_star,curv_mean_p99_xL_star,curv_gauss_mean_xL2_star,curv_gauss_iqr_xL2_star,curv_gauss_p99_xL2_star,thickness_over_cell_star,family,topology,element_order,group_key
ADMS,ADMS_DF_i15p0_d10p73_t0p2_s2_m1p6.stl,15.0,10.73,0.2,2,1.6,15.016,2174500,1,1,-42,0.05163,30.9559,1.5982,0.909,-1.40908,3.80705,-0.04606,4.40981,170.4947,31.0737,0.1984,0.0018,4000,0.06614,0.992,0.38115,0.31643,0.30242,1.26033,0.07873,0.33192,0.31627,0.35181,0.01454,0.986,10.1,OK,ADMS_DF_i15p0_d10p73_t0p2_s2_m1p6,0.00363,0.00375,0.2591,0.2852,0.648,0.00475,0.00095,0.0008150000000000001,0.0527,1.87705,7.9998,19.368584,0.999967,-0.028819,2.759144,19.44229,-0.551626,1.490382,66.745158,0.105708,ADMS,df,quadratic,ADMS|df|2
ADMS,ADMS_flow_i15p0_d12p75_t0p2_s2_m1p6.stl,15.0,12.75,0.2,2,1.6,15.016,2174596,1,1,-58,0.05309,30.8695,1.6389,0.929,-1.84896,4.96002,-0.06317,5.13725,157.1829,30.0846,0.1984,0.0019,4000,0.06613,0.992,0.41432,0.32758,0.2581,1.60526,0.15622,0.33418,0.32329,0.34253,0.00788,0.989,10.3,OK,ADMS_flow_i15p0_d12p75_t0p2_s2_m1p6,0.00233,0.00242,0.2503,0.3521,0.4795,0.0025900000000000003,0.000585,0.0007049999999999999,0.05410670511304311,1.83054,8.203,18.835939,1.000023,-0.038545,3.134645,18.357009,-0.688403,1.84671,58.522202,0.108378,ADMS,flow,quadratic,ADMS|flow|2
ADMS,ADMS_flow_i15p0_d14p77_t0p2_s2_m1p6.stl,15.0,14.77,0.2,2,1.6,15.013,2641688,1,1,-98,0.06471,30.8397,1.9955,0.93,-2.71514,6.44859,-0.09044,5.85811,174.1533,32.1495,0.1984,0.0021,4000,0.06614,0.992,0.37141,0.33609,0.2925,1.26979,0.07891,0.36373,0.29627,0.34,0.02794,0.989,12.6,OK,ADMS_flow_i15p0_d14p77_t0p2_s2_m1p6,0.00499,0.00507,0.2787,0.3738,0.3624,0.00703,0.0011250000000000001,0.001,0.06595960210901389,1.50328,9.9868,15.453562,0.999931,-0.045319,2.935459,16.109894,-0.681756,1.619204,43.728907,0.131991,ADMS,flow,quadratic,ADMS|flow|3
ADMS,ADMS_flow_i15p0_d16p79_t0p2_s2_m1p6.stl,15.0,16.79,0.2,2,1.6,15.014,2907068,1,1,-122,0.07053,30.8573,2.1763,0.925,-2.92,6.83437,-0.09918,5.90569,166.8351,31.5963,0.1985,0.0018,4000,0.06617,0.993,0.37954,0.34421,0.27626,1.37385,0.10328,0.37939,0.34419,0.27642,0.04273,0.989,14.0,OK,ADMS_flow_i15p0_d16p79_t0p2_s2_m1p6,0.00609,0.00609,0.2998,0.2297,0.4749,0.00937,0.0023,0.0014249999999999998,0.07173321457459421,1.37845,10.8919,14.178364,0.99997,-0.045571,2.713556,14.517921,-0.61648,1.442895,35.222795,0.14401,ADMS,flow,quadratic,ADMS|flow|3
ADMS,ADMS_DF_i15p0_d14p77_t0p2_s2_m1p6.stl,15.0,14.77,0.2,2,1.6,15.026,3098352,1,1,-130,0.07322,31.1299,2.2792,0.857,-2.88928,5.9739,-0.09616,5.53213,205.5843,34.8985,0.1986,0.002,4000,0.06618,0.993,0.36357,0.33643,0.3,1.2119,0.06357,0.33823,0.3333,0.32848,0.00398,0.97,15.0,OK,ADMS_DF_i15p0_d14p77_t0p2_s2_m1p6,0.00764,0.00806,0.2313,0.1239,1.0247,0.008035,0.0026550000000000002,0.0034100000000000003,0.075,1.31618,11.4164,13.657471,0.999942,-0.042188,2.427085,15.31085,-0.556128,1.149855,39.57082,0.150846,ADMS,df,quadratic,ADMS|df|3
ADMS,ADMS_DF_i15p0_d10p73_t0p3_s2_m1p6.stl,15.0,10.73,0.3,2,1.6,15.015,2189572,1,1,-42,0.07868,20.5549,1.6173,0.9,-1.41333,1.5993,-0.07193,2.81213,154.3081,30.8354,0.3014,0.0021,4000,0.10047,1.005,0.38138,0.31625,0.30238,1.26127,0.079,0.33194,0.3161,0.35196,0.01467,0.977,11.3,OK,ADMS_DF_i15p0_d10p73_t0p3_s2_m1p6,0.00765,0.00793,0.254,0.2706,0.706,0.00909,0.0019,0.00187,0.079,1.85499,8.0944,12.70971,1.000025,-0.044476,1.738824,19.066451,-0.540361,0.611463,58.996913,0.162486,ADMS,df,quadratic,ADMS|df|3
ADMS,ADMS_DF_i15p0_d20p83_t0p2_s1_m1p6.stl,15.0,20.83,0.2,1,1.6,15.028,4043860,1,1,-278,0.09565,31.0343,2.9683,0.877,-5.12835,9.30677,-0.16786,6.63574,239.5869,37.8053,0.1987,0.002,4000,0.06622,0.993,0.34749,0.33306,0.31944,1.08781,0.02805,0.33279,0.32835,0.33886,0.00431,0.976,19.8,OK,ADMS_DF_i15p0_d20p83_t0p2_s1_m1p6,0.0144,0.01474,0.2703,0.0778,0.9602,0.016565,0.00658,0.005575,0.0979,1.01063,14.8699,10.454783,0.999956,-0.056548,2.235437,12.735786,-0.582001,1.056197,27.19,0.196569,ADMS,df,quadratic,ADMS|df|4
ADMS,ADMS_raw_i15p0_d22p85_t0p2_s2_m1p6.stl,15.0,22.85,0.2,2,1.6,15.015,4124652,1,1,-282,0.09647,30.8462,2.9757,0.909,-4.66924,9.74106,-0.15756,6.61439,195.6339,34.4556,0.1988,0.0018,4000,0.06625,0.994,0.35295,0.32927,0.31778,1.11066,0.03517,0.32878,0.33476,0.33646,0.0033,0.987,21.7,OK,ADMS_raw_i15p0_d22p85_t0p2_s2_m1p6,0.01614,0.01634,0.2836,0.121,1.542,0.0195,0.0086,0.00701,0.09820107118899551,1.00815,14.8936,10.365917,0.999989,-0.052948,2.222777,11.578862,-0.527301,1.100065,22.093077,0.197142,ADMS,raw,quadratic,ADMS|raw|4
ADMS,ADMS_flow_i15p0_d26p89_t0p16_s2_m1p6.stl,15.0,26.89,0.16,2,1.6,15.023,5131732,1,1,-604,0.10077,37.8459,3.8138,0.919,-8.21376,18.69866,-0.23138,9.22769,296.6466,45.5267,0.1615,0.0034,4000,0.05382,1.009,0.36579,0.3412,0.29301,1.24837,0.07278,0.35014,0.34763,0.30223,0.02202,0.991,24.6,OK,ADMS_flow_i15p0_d26p89_t0p16_s2_m1p6,0.01386,0.01402,0.2856,0.1393,0.643,0.020135,0.00601,0.00414,0.1015307409518003,0.78663,19.0979,9.923588,1.000018,-0.06067,2.419596,11.937574,-0.564731,1.285613,20.395727,0.205255,ADMS,flow,quadratic,ADMS|flow|5
ADMS,ADMS_raw_i15p0_d30p93_t0p14_s2_m1p6.stl,15.0,30.93,0.14,2,1.6,15.017,5856236,1,1,-890,0.10085,42.2181,4.2575,0.912,-10.56164,23.27927,-0.26179,10.10211,369.0236,50.7164,0.1445,0.0036,4000,0.04818,1.032,0.35135,0.32619,0.32247,1.08955,0.02888,0.33266,0.33209,0.33525,0.00137,0.993,27.8,OK,ADMS_raw_i15p0_d30p93_t0p14_s2_m1p6,0.01797,0.01828,0.2784,0.0657,1.1619,0.02153,0.009399999999999999,0.007355,0.0991600384246924,0.70461,21.3125,9.915716,0.999954,-0.061486,2.372671,11.911702,-0.582616,1.284163,20.356587,0.205136,ADMS,raw,quadratic,ADMS|raw|4
