dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,C11_n,C12_n,C44_n,TAI,E_over_Es,G_over_Gs,nu_iso,Zener_Z,Rho_rel,group_key,element_order
TPMS,C(I2-Y) Generator_0.10.stl,C(I2-Y) Generator,,,,,,10.014,357044,1,1,-72,0.09927,120.0711,11.9196,0.876,-55.49102,52.47524,-0.57538,13.93587,353.0383,39.0581,0.1622,0.0388,4000,0.01622,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33333,0.33333,0.33334,1e-05,0.962,48.8,OK,C(I2-Y) Generator_0.10,0.045733,0.018962,0.01231,0.021112,0.033143,0.033094,0.301902,0.919637,0.09927,TPMS|C(I2-Y) Generator|4,quadratic
TPMS,C(I2-Y) Generator_0.12.stl,C(I2-Y) Generator,,,,,,10.011,357258,1,1,-72,0.11971,100.3588,12.014,0.868,-55.52929,51.52435,-0.69553,13.99281,363.7928,38.7849,0.1948,0.0464,4000,0.01948,,0.33335,0.33334,0.3333,1.00015,5e-05,0.33333,0.33332,0.33335,2e-05,0.956,48.2,OK,C(I2-Y) Generator_0.12,0.056239,0.022916,0.015472,0.019033,0.041355,0.041437,0.297421,0.928601,0.11971,TPMS|C(I2-Y) Generator|5,quadratic
TPMS,C(I2-Y) Generator_0.14.stl,C(I2-Y) Generator,,,,,,10.012,357736,1,1,-72,0.13929,86.7891,12.0885,0.862,-55.64307,51.18396,-0.81511,13.81987,345.4402,39.4393,0.2251,0.054,4000,0.02251,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33332,0.33334,0.33334,1e-05,0.95,48.2,OK,C(I2-Y) Generator_0.14,0.056764,0.021473,0.015451,0.036652,0.042029,0.042377,0.289318,0.875609,0.13929,TPMS|C(I2-Y) Generator|6,quadratic
TPMS,C(I2-Y) Generator_0.16.stl,C(I2-Y) Generator,,,,,,10.017,361148,1,1,-72,0.15946,76.1987,12.1507,0.857,-55.75369,52.50858,-0.94332,13.88093,366.6898,40.1925,0.2574,0.0624,4000,0.02574,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.944,48.1,OK,C(I2-Y) Generator_0.16,0.075691,0.029791,0.021537,0.016807,0.056966,0.057434,0.289397,0.938454,0.15946,TPMS|C(I2-Y) Generator|7,quadratic
TPMS,C(I2-Y) Generator_0.18.stl,C(I2-Y) Generator,,,,,,10.015,361752,1,1,-72,0.17912,68.2492,12.225,0.853,-55.88598,51.09703,-1.06616,13.90453,388.9631,40.6947,0.2872,0.0686,4000,0.02872,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33334,0.33334,0.33332,1e-05,0.939,48.5,OK,C(I2-Y) Generator_0.18,0.088473,0.034929,0.025655,0.01133,0.067205,0.067843,0.287764,0.958263,0.17912,TPMS|C(I2-Y) Generator|8,quadratic
TPMS,C(I2-Y) Generator_0.20.stl,C(I2-Y) Generator,,,,,,10.014,362252,1,1,-72,0.1996,61.5922,12.2937,0.845,-56.04879,50.56392,-1.19622,13.84333,418.6011,40.1557,0.3194,0.0768,4000,0.03194,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33333,0.33332,0.33335,1e-05,0.93,49.2,OK,C(I2-Y) Generator_0.20,0.100459,0.039421,0.029584,0.008454,0.077008,0.077889,0.285297,0.969357,0.1996,TPMS|C(I2-Y) Generator|9,quadratic
TPMS,C(I2-Y) Generator_0.22.stl,C(I2-Y) Generator,,,,,,10.012,361426,1,1,-72,0.21936,56.3672,12.3648,0.837,-56.29712,50.15312,-1.317,13.79162,405.1519,39.7744,0.349,0.0832,4000,0.0349,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33332,0.33333,0.33335,1e-05,0.922,48.9,OK,C(I2-Y) Generator_0.22,0.112365,0.043852,0.033554,0.005643,0.086829,0.087977,0.28303,0.979502,0.21936,TPMS|C(I2-Y) Generator|10,quadratic
TPMS,C(I2-Y) Generator_0.24.stl,C(I2-Y) Generator,,,,,,10.017,363456,1,1,-72,0.23874,51.9595,12.405,0.831,-56.4211,49.88664,-1.44931,13.6581,410.6738,42.0797,0.3811,0.0901,4000,0.03811,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.917,48.8,OK,C(I2-Y) Generator_0.24,0.124701,0.048452,0.03774,0.002804,0.097088,0.098531,0.280967,0.989932,0.23874,TPMS|C(I2-Y) Generator|11,quadratic
TPMS,C(I2-Y) Generator_0.26.stl,C(I2-Y) Generator,,,,,,10.013,364032,1,1,-72,0.25873,48.2201,12.4761,0.823,-56.56915,48.90148,-1.58795,13.80569,460.9549,41.4567,0.4079,0.0983,4000,0.04079,,0.33337,0.33332,0.3333,1.00021,7e-05,0.33332,0.33334,0.33334,1e-05,0.909,48.2,OK,C(I2-Y) Generator_0.26,0.137498,0.053237,0.042162,0.000294,0.107823,0.109591,0.279027,1.000766,0.25873,TPMS|C(I2-Y) Generator|12,quadratic
TPMS,C(I2-Y) Generator_0.28.stl,C(I2-Y) Generator,,,,,,10.016,365056,1,1,-72,0.27905,44.8525,12.5159,0.817,-56.74127,48.69831,-1.73904,13.54271,473.0047,41.7265,0.4405,0.1042,4000,0.04405,,0.33336,0.33332,0.33331,1.00016,5e-05,0.33332,0.33334,0.33333,1e-05,0.902,49.4,OK,C(I2-Y) Generator_0.28,0.15135,0.058464,0.047011,0.003303,0.119513,0.12164,0.277273,1.012237,0.27905,TPMS|C(I2-Y) Generator|13,quadratic
